medalistID,Name,Sex,Age,Height,Weight,Team,NOC,Season,Sport,TopMedal,TotalMedals
8938,Islam Ilyasovich Bayramukov,M,29,186,97,Kazakhstan,KAZ,Summer,Wrestling,2,1
8952,Maryna Viktorivna Bazanova,F,25,168,70,Soviet Union,URS,Summer,Handball,1,2
8964,Mehmed Badarevi,M,23,178,75,Yugoslavia,YUG,Summer,Football,1,1
8967,Svetlana Valeryevna Bazhanova,F,21,175,70,Russia,RUS,Winter,Speed Skating,3,1
8968,Viktor Andreyevich Bazhenov,M,26,170,72,Soviet Union,URS,Summer,Fencing,2,1
8970,Nikolay Serafimovich Bazhukov,M,22,175,70,Soviet Union,URS,Winter,Cross Country Skiing,3,3
9003,Sebastian Bea,M,23,198,89,United States,USA,Summer,Rowing,2,1
9013,Gemma Beadsworth,F,21,180,78,Australia,AUS,Summer,Water Polo,1,2
9026,"Robert ""Bob"" Beamon",M,22,191,70,United States,USA,Summer,Athletics,3,1
9033,Vladimir Beara,M,23,184,82,Yugoslavia,YUG,Summer,Football,2,1
9034,Amanda Ray Beard (-Brown),F,14,173,59,United States,USA,Summer,Swimming,3,7
9035,"Elizabeth Ann ""Betsy"" Beard (-Stillings)",F,22,155,42,United States,USA,Summer,Rowing,3,1
9038,Percy Morris Beard,M,24,193,84,United States,USA,Summer,Athletics,2,1
9039,"Ralph Milton Beard, Jr.",M,20,178,79,United States,USA,Summer,Basketball,3,1
9040,"Jonathan ""Jon"" Beare",M,34,185,75,Canada,CAN,Summer,Rowing,1,1
9041,Colin Kenneth Beashel,M,36,181,87,Australia,AUS,Summer,Sailing,1,1
9053,John M. Beattie,M,23,193,87,Great Britain,GBR,Summer,Rowing,1,1
9058,Ronald Layne Beaubien,M,32,198,100,United States,USA,Summer,Water Polo,2,1
9067,Clment Beaud,M,19,184,81,Cameroon,CMR,Summer,Football,3,1
9086,Lyne Beaumont,F,22,170,56,Canada,CAN,Summer,Synchronized Swimming,1,1
9089,Maxime Eugne Ren Beaumont,M,34,191,94,France,FRA,Summer,Canoeing,2,1
9091,Jeanne Marie Beauprey (-Reeves),F,23,183,70,United States,USA,Summer,Volleyball,2,1
9093,Robin Mary Beauregard,F,21,175,81,United States,USA,Summer,Water Polo,2,2
9094,"Francis Joseph Edmund ""Frank"" De Beaurepaire",M,16,170,65,Australasia,ANZ,Summer,Swimming,2,6
9104,Bronisaw Bebel,M,27,191,91,Poland,POL,Summer,Volleyball,3,1
9107,"Jos Roberto ""Bebeto"" Gama de Oliveira",M,24,177,69,Brazil,BRA,Summer,Football,2,2
9110,Milivoj Bebi,M,20,188,88,Yugoslavia,YUG,Summer,Water Polo,3,2
9111,Anna Rose Bebington-Watkins,F,25,183,78,Great Britain,GBR,Summer,Rowing,3,2
9118,Sylvie Becaert,F,30,166,54,France,FRA,Winter,Biathlon,2,2
9122,Luigi Beccali,M,24,169,63,Italy,ITA,Summer,Athletics,3,2
9138,Hassan Ali Bechara,M,35,180,100,Lebanon,LIB,Summer,Wrestling,1,1
9142,Kelly Bchard,F,24,175,66,Canada,CAN,Winter,Ice Hockey,3,1
9147,Petre Becheru,M,24,164,83,Romania,ROU,Summer,Weightlifting,3,1
9150,"Yelena Yuryevna Bechke (-Petrova, -Ellis)",F,26,158,48,Unified Team-2,EUN,Winter,Figure Skating,2,1
9152,Christoph Bechmann,M,32,190,88,Germany,GER,Summer,Hockey,1,1
9154,Laura Bechtolsheimer (-Tomlinson),F,27,169,56,Great Britain,GBR,Summer,Equestrianism,3,2
9160,Mersada Beirspahi,F,22,185,75,Yugoslavia,YUG,Summer,Basketball,1,1
9164,"Robert Lee ""Bob"" Beck",M,23,188,76,United States,USA,Summer,Modern Pentathlon,1,2
9167,Frank Beck,M,23,179,72,West Germany,FRG,Summer,Fencing,2,1
9178,"Lewis William ""Lew"" Beck, Jr.",M,26,183,75,United States,USA,Summer,Basketball,3,1
9181,Nicole Elise Beck,F,28,168,66,Australia,AUS,Summer,Rugby Sevens,3,1
9185,Volker Beck,M,24,191,82,East Germany,GDR,Summer,Athletics,3,2
9190,Daniel Becke,M,22,187,76,Germany,GER,Summer,Cycling,3,1
9194,Andreas Becker,M,22,190,78,Germany,GER,Summer,Hockey,3,1
9195,Boris Franz Becker,M,24,192,85,Germany,GER,Summer,Tennis,3,1
9196,Britta Christiane Becker (-Kerner),F,19,176,65,Germany,GER,Summer,Hockey,2,1
9197,Carolyn Marie Becker,F,25,183,79,United States,USA,Summer,Volleyball,2,1
9200,Ellen Becker,F,23,180,83,West Germany,FRG,Summer,Rowing,1,1
9209,Marcus Becker,M,22,180,72,Germany-1,GER,Summer,Canoeing,2,1
9210,Marion Becker (Steiner-),F,26,167,63,West Germany,FRG,Summer,Athletics,2,1
9212,Nick Adrian Becker,M,23,193,91,United States,USA,Summer,Volleyball,1,1
9213,Otto Becker,M,41,182,78,Germany,GER,Summer,Equestrianism,3,2
9217,Sabine Becker,F,20,173,59,East Germany,GDR,Winter,Speed Skating,2,2
9219,Thomas Becker,M,29,192,85,Germany,GER,Summer,Canoeing,1,1
9224,Courtenay Compton Becker-Dey,F,31,173,65,United States,USA,Summer,Sailing,1,1
9231,Stephanie Beckert,F,21,172,73,Germany,GER,Winter,Speed Skating,3,3
9237,James Charles Beckford,M,21,178,78,Jamaica,JAM,Summer,Athletics,2,1
9239,Janine Elizabeth Beckie,F,21,173,63,Canada,CAN,Summer,Football,1,1
9241,Amber Gerganiya Beckitt (-Shelley),F,19,162,59,Australia,AUS,Summer,Swimming,2,1
9242,William Russell Becklean,M,20,172,57,United States,USA,Summer,Rowing,3,1
9250,Gudrun Beckmann,F,17,174,62,West Germany,FRG,Summer,Swimming,1,2
9259,Violeta Beclea-Szekely,F,35,169,52,Romania,ROU,Summer,Athletics,2,1
9276,ric Bdard,M,21,173,77,Canada,CAN,Winter,Short Track Speed Skating,3,4
9278,Myriam Bdard,F,22,161,54,Canada,CAN,Winter,Biathlon,3,3
9291,"Barbara Jane ""B. J."" Bedford (-Miller)",F,27,172,61,United States,USA,Summer,Swimming,3,1
9300,Mircea Bedivan,M,26,195,88,Romania,ROU,Summer,Handball,1,1
9306,Vladimr Bedn,M,23,181,80,Czechoslovakia,TCH,Winter,Ice Hockey,1,1
9307,gatha Bednarczuk Rippel,F,33,182,70,Brazil-1,BRA,Summer,Beach Volleyball,2,1
9311,Miloslav Bednak,M,23,175,92,Czechoslovakia,TCH,Summer,Shooting,2,1
9334,Binia Beeli (-Feltscher),F,27,175,62,Switzerland,SUI,Winter,Curling,2,1
9339,"Donald Anton Eilers ""Don"" Beer",M,21,195,88,United States,USA,Summer,Rowing,3,1
9343,Klaus Beer,M,25,176,74,East Germany,GDR,Summer,Athletics,2,1
9344,Manfred Beer,M,22,175,67,East Germany,GDR,Winter,Biathlon,1,1
9349,Ludger Beerbaum,M,25,190,85,West Germany,FRG,Summer,Equestrianism,3,5
9355,"Daniel ""Dan"" Beery",M,29,200,97,United States,USA,Summer,Rowing,3,1
9366,"Kanatbek Kubatovich ""Kanat"" Begaliyev",M,24,168,66,Kyrgyzstan,KGZ,Summer,Wrestling,2,1
9371,Dale Begg-Smith,M,21,186,84,Australia,AUS,Winter,Freestyle Skiing,3,2
9374,Giuseppe Beghetto,M,20,173,70,Italy,ITA,Summer,Cycling,3,1
9383,"Elizabeth Anne ""Beth"" Beglin",F,27,165,58,United States,USA,Summer,Hockey,1,1
9391,Louis Bguet,M,29,172,99,France,FRA,Summer,Rugby,2,1
9394,Adriana Brando Behar,F,31,180,64,Brazil-1,BRA,Summer,Beach Volleyball,2,2
9399,Petra Behle-Schaaf,F,23,177,67,Germany,GER,Winter,Biathlon,3,3
9401,Andreas Behm,M,29,164,73,Germany,GER,Summer,Weightlifting,1,1
9403,"Donald Ray ""Don"" Behm",M,23,163,57,United States,USA,Summer,Wrestling,2,1
9406,Anke Behmer (Vater-),F,27,174,62,East Germany,GDR,Summer,Athletics,1,1
9409,Jean-Baptiste Andr Bhotguy,M,23,165,69,France,FRA,Summer,Rugby,2,1
9412,Matthias Behr,M,21,194,87,West Germany,FRG,Summer,Fencing,3,4
9414,Reinhold Behr,M,27,186,82,West Germany,FRG,Summer,Fencing,2,1
9419,Holger Behrendt,M,24,161,60,East Germany,GDR,Summer,Gymnastics,3,3
9420,Jan Behrendt,M,20,169,70,East Germany-2,GDR,Winter,Luge,3,4
9421,Jutta Behrendt (Hampe-),F,27,181,75,East Germany,GDR,Summer,Rowing,3,1
9422,Kerstin Behrendt,F,21,177,64,East Germany,GDR,Summer,Athletics,2,1
9427,Klaus Behrens,M,23,191,88,Germany,GER,Summer,Rowing,2,1
9432,"Genevieve ""Gen"" Behrent",F,25,183,73,New Zealand,NZL,Summer,Rowing,2,1
9434,Melanie Behringer,F,22,172,71,Germany,GER,Summer,Football,3,2
